wrinklers,buff_cycles,buff_percent,time_for_cycles_s,time_left_clicking_s,total_clicks,cookies_during_buff,final_cookies
8,18,1800,4.5,5.5,550.0,6270.0,25832.4
8,19,1900,4.75,5.25,525.0,6300.0,25956.0
8,20,2000,5.0,5.0,500.0,6300.0,25956.0
8,21,2100,5.25,4.75,475.0,6270.0,25832.4
8,22,2200,5.5,4.5,450.0,6210.0,25585.2
8,23,2300,5.75,4.25,425.0,6120.0,25214.4
8,24,2400,6.0,4.0,400.0,6000.0,24720.0
8,25,2500,6.25,3.75,375.0,5850.0,24102.0
8,26,2600,6.5,3.5,350.0,5670.0,23360.4
8,27,2700,6.75,3.25,325.0,5460.0,22495.2
8,28,2800,7.0,3.0,300.0,5220.0,21506.4
8,29,2900,7.25,2.75,275.0,4950.0,20394.0
8,30,3000,7.5,2.5,250.0,4650.0,19158.0
8,31,3100,7.75,2.25,225.0,4320.0,17798.4
8,32,3200,8.0,2.0,200.0,3960.0,16315.2
8,33,3300,8.25,1.75,175.0,3570.0,14708.4
8,34,3400,8.5,1.5,150.0,3150.0,12978.0
8,35,3500,8.75,1.25,125.0,2700.0,11124.0
8,36,3600,9.0,1.0,100.0,2220.0,9146.4
8,37,3700,9.25,0.75,75.0,1710.0,7045.2
8,38,3800,9.5,0.5,50.0,1170.0,4820.400000000001
8,39,3900,9.75,0.25,25.0,600.0,2472.0
8,40,4000,10.0,0.0,0.0,0.0,0.0
9,1,100,0.25,9.75,975.0,1072.5,5367.8625
9,2,200,0.5,9.5,950.0,1567.5,7845.3375
9,3,300,0.75,9.25,925.0,2035.0000000000002,10185.175000000001
9,4,400,1.0,9.0,900.0,2475.0000000000005,12387.375000000002
9,5,500,1.25,8.75,875.0,2887.5000000000005,14451.937500000002
9,6,600,1.5,8.5,850.0,3272.5000000000005,16378.862500000001
9,7,700,1.75,8.25,825.0,3630.0000000000005,18168.15
9,8,800,2.0,8.0,800.0,3960.0000000000005,19819.800000000003
9,9,900,2.25,7.75,775.0,4262.500000000001,21333.812500000004
9,10,1000,2.5,7.5,750.0,4537.500000000001,22710.187500000004
9,11,1100,2.75,7.25,725.0,4785.000000000001,23948.925000000003
9,12,1200,3.0,7.0,700.0,5005.000000000001,25050.025000000005
9,13,1300,3.25,6.75,675.0,5197.500000000001,26013.487500000003
9,14,1400,3.5,6.5,650.0,5362.500000000001,26839.312500000004
9,15,1500,3.75,6.25,625.0,5500.0,27527.5
9,16,1600,4.0,6.0,600.0,5610.0,28078.05
9,17,1700,4.25,5.75,575.0,5692.5,28490.962499999998
9,18,1800,4.5,5.5,550.0,5747.5,28766.2375
9,19,1900,4.75,5.25,525.0,5775.0,28903.875
9,20,2000,5.0,5.0,500.0,5775.0,28903.875
9,21,2100,5.25,4.75,475.0,5747.5,28766.2375
9,22,2200,5.5,4.5,450.0,5692.500000000001,28490.962500000005
9,23,2300,5.75,4.25,425.0,5610.000000000001,28078.050000000003
9,24,2400,6.0,4.0,400.0,5500.000000000001,27527.500000000004
9,25,2500,6.25,3.75,375.0,5362.500000000001,26839.312500000004
9,26,2600,6.5,3.5,350.0,5197.500000000001,26013.487500000003
9,27,2700,6.75,3.25,325.0,5005.000000000001,25050.025000000005
9,28,2800,7.0,3.0,300.0,4785.0,23948.925
9,29,2900,7.25,2.75,275.0,4537.5,22710.1875
9,30,3000,7.5,2.5,250.0,4262.5,21333.8125
9,31,3100,7.75,2.25,225.0,3960.0000000000005,19819.800000000003
9,32,3200,8.0,2.0,200.0,3630.0000000000005,18168.15
9,33,3300,8.25,1.75,175.0,3272.5000000000005,16378.862500000001
9,34,3400,8.5,1.5,150.0,2887.5,14451.9375
9,35,3500,8.75,1.25,125.0,2475.0,12387.375
9,36,3600,9.0,1.0,100.0,2035.0000000000002,10185.175000000001
9,37,3700,9.25,0.75,75.0,1567.5,7845.3375
9,38,3800,9.5,0.5,50.0,1072.5000000000002,5367.862500000001
9,39,3900,9.75,0.25,25.0,550.0000000000001,2752.7500000000005
9,40,4000,10.0,0.0,0.0,0.0,0.0
10,1,100,0.25,9.75,975.0,975.0,5850.0
10,2,200,0.5,9.5,950.0,1425.0,8550.0
10,3,300,0.75,9.25,925.0,1850.0,11100.0
10,4,400,1.0,9.0,900.0,2250.0,13500.0
10,5,500,1.25,8.75,875.0,2625.0,15750.0
10,6,600,1.5,8.5,850.0,2975.0,17850.0
10,7,700,1.75,8.25,825.0,3300.0,19800.0
10,8,800,2.0,8.0,800.0,3600.0,21600.0
10,9,900,2.25,7.75,775.0,3875.0,23250.0
10,10,1000,2.5,7.5,750.0,4125.0,24750.0
10,11,1100,2.75,7.25,725.0,4350.0,26100.0
10,12,1200,3.0,7.0,700.0,4550.0,27300.0
10,13,1300,3.25,6.75,675.0,4725.0,28350.0
10,14,1400,3.5,6.5,650.0,4875.0,29250.0
10,15,1500,3.75,6.25,625.0,5000.0,30000.0
10,16,1600,4.0,6.0,600.0,5100.0,30600.0
10,17,1700,4.25,5.75,575.0,5175.0,31050.0
10,18,1800,4.5,5.5,550.0,5225.0,31350.0
10,19,1900,4.75,5.25,525.0,5250.0,31500.0
10,20,2000,5.0,5.0,500.0,5250.0,31500.0
10,21,2100,5.25,4.75,475.0,5225.0,31350.0
10,22,2200,5.5,4.5,450.0,5175.0,31050.0
10,23,2300,5.75,4.25,425.0,5100.0,30600.0
10,24,2400,6.0,4.0,400.0,5000.0,30000.0
10,25,2500,6.25,3.75,375.0,4875.0,29250.0
10,26,2600,6.5,3.5,350.0,4725.0,28350.0
10,27,2700,6.75,3.25,325.0,4550.0,27300.0
10,28,2800,7.0,3.0,300.0,4350.0,26100.0
10,29,2900,7.25,2.75,275.0,4125.0,24750.0
10,30,3000,7.5,2.5,250.0,3875.0,23250.0
10,31,3100,7.75,2.25,225.0,3600.0,21600.0
10,32,3200,8.0,2.0,200.0,3300.0,19800.0
10,33,3300,8.25,1.75,175.0,2975.0,17850.0
10,34,3400,8.5,1.5,150.0,2625.0,15750.0
10,35,3500,8.75,1.25,125.0,2250.0,13500.0
10,36,3600,9.0,1.0,100.0,1850.0,11100.0
10,37,3700,9.25,0.75,75.0,1425.0,8550.0
10,38,3800,9.5,0.5,50.0,975.0,5850.0
10,39,3900,9.75,0.25,25.0,500.0,3000.0
10,40,4000,10.0,0.0,0.0,0.0,0.0
11,1,100,0.25,9.75,975.0,877.4999999999999,6234.6375
11,2,200,0.5,9.5,950.0,1282.4999999999998,9112.162499999999
11,3,300,0.75,9.25,925.0,1664.9999999999998,11829.824999999999
11,4,400,1.0,9.0,900.0,2024.9999999999998,14387.625
11,5,500,1.25,8.75,875.0,2362.4999999999995,16785.562499999996
11,6,600,1.5,8.5,850.0,2677.4999999999995,19023.637499999997
